ID,BASECOLOUR,BASECOLOURDESCRIPTION,ADOPTAPETCOLOUR,ISRETIRED
100,Sable,,Brown or Chocolate,0
1,Black,,Black,0
2,White,,White,0
6,Tortie,,Tortoiseshell,0
98,Brown Tabby with White,,Brown Tabby,1
101,Dilute Torbie and White,,Calico or Dilute Calico,0
102,Black Smoke,,Black (All),0
103,Smoke Tabby,,Tiger Striped,0
104,Smoke Tabby and White,,Tiger Striped,0
105,White and Smoke Tabby,,White (Mostly),0
106,Chocolate Point,,Brown or Chocolate (Mostly),0
107,Snowshoe,,White (Mostly),0
68,Brown Tabby,,Brown Tabby,0
74,Brown Tabby and White,,Brown Tabby,0
3,Black and White,,Black & White or Tuxedo,0
96,Buff Tabby,,Orange or Red,0
97,Buff Tabby and White,,Orange or Red,0
64,Calico,,Calico or Dilute Calico,0
65,Dilute Calico,,Calico or Dilute Calico,0
99,Dilute Torbie,,Calico or Dilute Calico,0
66,Dilute Tortie,,Calico or Dilute Calico,0
83,Flame Point,,Cream or Ivory,0
62,Gray,,Gray or Blue,0
63,Gray and White,,Gray or Blue (Mostly),0
67,Gray Tabby,,Gray or Blue,0
75,Gray Tabby and White,,Gray or Blue (Mostly),0
79,Orange Tabby and White,,Orange or Red (Mostly),0
69,Orange Tabby,,Orange or Red Tabby,0
86,Tortie Point,,Tortoiseshell,0
89,White and Black,,Black & White or Tuxedo,0
78,Black Tabby,,Black (Mostly),0
87,Lilac Point,,Cream or Ivory,0
85,Lynx Point,,Tiger Striped,0
84,Seal Point,,Gray or Blue (Mostly),0
76,Silver Tabby,,Gray or Blue (Mostly),0
77,Silver Tabby and White,,Gray or Blue (Mostly),0
81,Torbie,,Tortoiseshell,0
82,Torbie and White,,Tortoiseshell,0
90,White and Brown Tabby,,White (Mostly),0
93,White and Buff Tabby,,White (Mostly),0
88,White and Gray,,White (Mostly),0
91,White and Gray Tabby,,White (Mostly),0
94,White and Orange Tabby,,White (Mostly),0
92,White and Silver Tabby,,White (Mostly),0
95,White and Torbie,,White (Mostly),0
