ADOPTIONNUMBER,ANIMALID,OWNERID,RETAILERID,MOVEMENTDATE,RETURNDATE,RETURNEDREASONID,RETURNEDBYOWNERID
7571,4087,5659,3,12/6/17,None,11,0
7601,3670,28,0,12/7/17,None,0,0
7604,3972,5660,0,12/8/17,None,13,0
7602,4015,5663,0,12/7/17,None,13,0
7607,3776,4799,0,12/8/17,None,0,0
7570,3910,5650,3,12/7/17,None,13,0
7608,4008,5678,3,12/10/17,None,13,0
7611,4230,5657,0,12/9/17,None,13,0
7613,4000,5610,0,12/9/17,None,13,0
7622,3645,5689,0,12/10/17,None,13,0
7612,4246,5657,0,12/9/17,None,13,0
7623,4013,1641,0,12/10/17,None,13,0
7603,4012,5673,0,12/9/17,None,13,0
7629,3748,5693,0,12/16/17,None,13,0
7627,4098,5690,3,12/11/17,None,13,0
7630,4089,5691,0,12/11/17,None,13,0
7654,4174,5709,0,12/14/17,None,13,0
7638,3995,5649,0,12/14/17,None,13,0
7656,4168,5701,0,12/14/17,None,13,0
7628,3868,5693,0,12/16/17,None,13,0
7660,108,5706,0,12/16/17,None,13,0
7675,4145,5721,0,12/18/17,None,13,0
7655,4176,5709,0,12/14/17,None,13,0
7673,3969,5638,0,12/16/17,None,13,0
7671,3393,5714,0,12/17/17,None,13,0
7674,3957,1052,0,12/17/17,None,13,0
7672,3967,5638,0,12/16/17,None,13,0
7714,4001,5672,0,12/21/17,None,13,0
7715,4003,5739,0,12/21/17,None,13,0
7716,4091,5729,0,12/21/17,None,13,0
7717,1524,5563,0,12/21/17,None,13,0
7718,2868,5563,0,12/21/17,None,13,0
7719,4182,5748,0,12/21/17,None,13,0
7732,4358,5741,0,12/26/17,None,13,0
7720,4316,5740,0,12/21/17,None,13,0
7721,4180,5473,0,12/21/17,None,13,0
7713,3051,1574,0,12/22/17,None,13,0
7734,4084,5767,0,12/26/17,None,13,0
7722,3115,4512,0,12/22/17,None,0,0
7725,3310,5753,0,12/23/17,None,13,0
7735,4082,5705,0,12/26/17,None,13,0
11850,6783,8310,0,3/16/19,None,13,0
7723,4101,5762,3,12/23/17,None,13,0
7724,4085,5752,0,12/23/17,None,13,0
7726,4198,5730,0,12/23/17,None,13,0
7730,4170,5769,0,12/24/17,None,13,0
7742,4319,5750,0,1/3/18,None,13,0
7733,4166,5767,0,12/26/17,None,13,0
7759,3746,5775,0,12/26/17,None,11,0
7729,4083,5743,0,1/3/18,None,13,0
7764,4300,5773,0,12/30/17,None,13,0
7765,4361,5780,0,1/5/18,None,13,0
7766,4247,1267,0,12/28/17,None,0,0
7773,4183,5776,0,12/30/17,None,13,0
7774,3733,5776,0,12/28/17,None,13,0
733,178,299,3,8/21/14,None,13,0
754,208,303,0,8/24/14,None,13,0
7884,3871,5805,0,12/29/17,None,0,0
7885,3872,5805,0,12/29/17,None,0,0
7886,3890,5805,0,12/29/17,None,0,0
7890,4238,5812,0,12/30/17,None,13,0
7894,1136,5819,0,1/1/18,None,0,0
7727,4152,5747,0,12/31/17,None,13,0
7087,4099,5565,0,11/18/17,12/30/17,4,5565
7891,4240,5812,0,12/30/17,None,13,0
7893,4306,5809,0,12/31/17,None,13,0
7895,4236,5781,0,1/1/18,None,0,0
7892,4279,5791,0,1/2/18,None,13,0
7896,3974,4130,0,1/2/18,None,11,0
7917,4388,5847,0,1/6/18,None,13,0
7916,4387,5779,0,1/6/18,None,13,0
7918,4386,5847,0,1/6/18,None,13,0
7920,4097,5844,0,1/6/18,None,13,0
7921,4305,5844,0,1/6/18,None,13,0
7912,4253,5820,0,1/8/18,None,13,0
7922,3917,5837,3,1/6/18,None,13,0
7919,4281,5838,0,1/6/18,None,13,0
7923,3862,5837,3,1/6/18,None,13,0
7915,4016,5837,3,1/6/18,None,13,0
7938,3745,5858,0,1/8/18,None,13,0
7924,3544,5835,0,1/8/18,None,13,0
7926,4223,5855,0,1/7/18,None,11,0
7925,4225,5855,0,1/7/18,None,11,0
7899,4472,5830,0,9/7/12,1/9/18,4,0
7949,4037,5865,0,1/11/18,None,13,0
7962,4178,5849,0,1/11/18,None,13,0
7948,3941,5843,0,1/11/18,None,13,0
7963,3723,5853,0,1/11/18,None,13,0
8034,4367,5873,0,1/20/18,None,13,0
8037,4093,5818,0,1/13/18,None,13,0
20190,10977,14420,0,2/1/21,None,13,0
8035,4357,5859,0,1/14/18,None,13,0
8033,4365,5873,0,1/20/18,None,13,0
8047,3878,4484,0,1/15/18,None,0,0
8049,3913,5885,3,1/17/18,None,13,0
8040,4234,5816,0,1/17/18,None,13,0
8056,3595,5816,0,1/17/18,None,13,0
7964,4147,4935,0,1/17/18,None,13,0
8039,3926,5851,0,1/17/18,None,13,0
8054,3142,5894,3,1/17/18,None,13,0
8048,4322,5879,3,1/17/18,None,13,0
8058,4121,5852,0,1/20/18,None,13,0
5207,2822,4353,0,5/31/17,1/18/18,5,0
8066,2822,5904,0,1/19/18,None,0,0
8055,4363,5896,0,1/20/18,None,13,0
8075,4134,5882,0,1/20/18,None,13,0
8095,3273,5917,0,1/24/18,None,13,0
8073,4219,3792,0,1/21/18,None,13,0
8079,4262,5895,0,1/21/18,None,13,0
8080,4343,5884,0,1/21/18,None,13,0
8082,4138,5905,0,1/21/18,None,13,0
8076,3575,5817,0,1/21/18,None,13,0
8081,4334,5884,0,1/21/18,None,13,0
8074,3790,5882,0,1/20/18,None,13,0
8103,4321,4770,0,1/25/18,None,13,0
8105,4191,5930,0,1/27/18,None,13,0
11852,6698,8362,0,3/23/19,None,13,0
2593,935,1050,0,11/20/15,None,13,0
2418,860,994,0,9/21/15,None,13,0
2309,810,944,0,8/29/15,None,13,0
2417,861,993,0,10/10/15,None,13,0
8104,4189,5930,0,1/27/18,None,13,0
8084,4221,5913,3,1/22/18,None,13,0
2416,859,992,0,10/10/15,None,13,0
1361,392,542,0,12/30/14,None,13,0
8125,4136,5924,0,1/27/18,None,13,0
8077,3719,6465,3,1/20/18,None,13,0
8138,4446,5950,0,1/27/18,None,13,0
8144,3800,5940,0,2/10/18,None,13,0
11729,6802,8252,0,3/17/19,None,13,0
8143,1003,5702,0,1/28/18,None,13,0
8141,4490,5947,0,1/28/18,None,13,0
8155,4080,5955,0,1/28/18,None,0,0
8156,2370,3880,0,1/29/18,None,11,0
8157,3454,3880,0,1/29/18,None,0,0
8139,4270,5893,0,1/27/18,None,13,0
8163,4162,5957,0,1/30/18,None,13,0
8164,4185,5874,0,1/31/18,None,0,0
1473,477,611,0,1/25/15,None,13,0
8169,4421,5339,0,2/3/18,None,13,0
8154,4076,5955,0,1/28/18,None,11,0
15318,8358,10605,0,1/4/20,None,13,0
8188,43,5979,0,2/3/18,None,13,0
8189,4010,5971,0,2/3/18,None,13,0
8187,4398,5935,3,2/4/18,None,13,0
8190,4493,5938,0,2/3/18,None,13,0
8191,4495,5938,0,2/3/18,None,13,0
8192,4307,5082,0,2/4/18,None,13,0
8199,4456,5988,0,2/7/18,None,13,0
8194,3338,5977,0,2/8/18,None,13,0
8212,4330,6006,0,2/9/18,None,11,0
8211,4137,6002,0,2/8/18,None,13,0
8213,4332,6006,0,2/9/18,None,0,0
8198,3786,5902,3,2/9/18,None,13,0
1563,531,672,3,2/22/15,None,13,0
8240,4336,6014,0,2/17/18,None,13,0
8225,4508,6012,0,2/10/18,None,13,0
8226,2731,5990,0,2/10/18,None,13,0
8250,4471,6026,0,2/12/18,None,13,0
8228,4506,6022,0,2/12/18,None,13,0
8231,4443,5989,0,2/11/18,None,13,0
11854,6629,8356,0,3/17/19,None,13,0
8224,4510,5980,0,2/10/18,None,13,0
8227,4086,6013,0,2/10/18,None,13,0
8232,3953,292,0,2/11/18,None,13,0
1666,567,730,0,3/30/15,None,13,0
20191,11031,11193,0,2/1/21,None,13,0
8140,3794,5930,0,2/11/18,2/14/18,4,5930
8221,4399,6005,3,2/10/18,None,13,0
8230,4407,6025,0,2/12/18,None,13,0
4456,1219,3668,0,12/3/16,None,5,0
8258,4299,6040,0,2/15/18,None,13,0
1699,485,744,0,4/16/15,None,13,0
8278,4526,6062,0,2/18/18,None,13,0
8275,4567,6059,0,2/17/18,None,13,0
8279,4520,6062,0,2/18/18,None,13,0
8276,4529,5970,0,2/17/18,None,13,0
8294,4545,4572,0,2/20/18,None,11,0
8249,4512,4801,0,3/19/18,None,13,0
8280,4172,6048,0,2/18/18,None,13,0
8257,4184,6032,0,2/17/18,None,13,0
8274,4494,6042,0,2/17/18,None,13,0
3932,1280,1559,3,8/25/16,2/18/18,4,0
8281,3918,6023,0,2/18/18,None,13,0
8273,3934,6038,0,2/19/18,None,13,0
6366,3757,5147,0,9/18/17,None,11,0
4967,2394,40,0,3/17/17,None,11,0
6130,3624,5038,0,8/18/17,None,11,0
8286,4266,6061,3,2/23/18,None,13,0
8333,3794,6070,0,2/24/18,None,13,0
8334,4496,6025,0,2/24/18,None,13,0
8335,4200,4850,0,2/24/18,None,13,0
8338,3699,6080,3,2/28/18,None,13,0
2138,582,868,0,7/31/15,None,13,0
2197,681,897,3,8/15/15,None,13,0
2252,766,920,0,8/30/15,None,13,0
2384,820,978,0,10/7/15,None,13,0
2809,390,1117,0,1/9/16,11/22/16,4,0
2902,1000,1144,0,1/30/16,None,13,0
2942,1039,1163,3,2/10/16,None,13,0
2935,848,1156,3,2/7/16,None,13,0
3374,1113,1262,0,5/27/16,None,13,0
3177,1121,1239,0,4/5/16,None,13,0
3526,1164,1367,0,6/9/16,None,13,0
3711,1300,1428,0,7/10/16,None,13,0
4006,1373,1607,0,9/10/16,None,13,0
3895,1289,1531,0,8/14/16,None,13,0
4203,1403,3162,0,10/17/16,None,13,0
4320,1426,3576,3,11/6/16,None,13,0
4381,1502,3630,0,11/21/16,None,13,0
4834,2618,4080,0,2/26/17,None,13,0
15315,5456,10680,3,1/2/20,None,13,0
5016,2736,1191,0,4/15/17,None,13,0
5215,2595,4468,0,6/1/17,None,13,0
5353,2735,4622,0,6/24/17,None,13,0
5684,2706,4723,0,7/10/17,None,13,0
5852,3303,4835,0,8/1/17,None,11,0
6148,3740,4880,0,9/2/17,None,13,0
6641,3765,5261,0,10/12/17,None,13,0
6692,3962,5361,0,10/21/17,None,13,0
6792,1505,5068,0,10/29/17,None,13,0
6793,3759,5068,0,10/29/17,None,13,0
11855,6796,8364,0,3/17/19,None,13,0
6989,3514,5524,0,1/8/18,None,13,0
7088,3335,5566,3,11/18/17,None,13,0
37,4,11,0,2/16/14,None,13,0
38,10,12,0,2/23/14,None,13,0
1622,574,713,0,3/15/15,None,13,0
169,121,108,0,4/23/14,None,13,0
39,11,13,0,2/23/14,None,13,0
7536,3832,5615,0,12/2/17,None,13,0
7537,3050,5488,0,12/2/17,None,13,0
7538,3509,5622,0,12/2/17,None,13,0
7529,3860,1161,0,12/2/17,None,13,0
7552,4224,5654,0,12/4/17,None,0,0
5328,3241,4610,0,6/23/17,None,11,0
40,9,14,0,2/27/14,None,13,0
41,8,15,0,2/26/14,None,13,0
59,53,22,3,3/6/14,None,13,0
42,3,16,0,2/13/14,None,13,0
32,21,5,0,2/16/14,None,13,0
33,12,8,0,2/20/14,None,13,0
43,7,17,0,2/15/14,None,13,0
35,6,9,0,2/20/14,None,13,0
36,2,10,0,2/22/14,None,13,0
89,13,62,3,3/4/14,None,13,0
63,60,23,3,3/8/14,None,13,0
55,77,20,0,3/7/14,None,13,0
56,56,21,0,3/9/14,3/20/14,4,0
57,55,21,0,3/9/14,3/20/14,4,0
65,18,63,0,3/4/14,3/8/14,4,0
1623,552,714,0,3/15/15,None,13,0
90,80,61,3,3/14/14,None,13,0
4756,2650,4029,0,2/11/17,None,13,0
1996,662,818,0,6/25/15,None,13,0
115,37,70,0,3/23/14,None,13,0
118,76,20,0,3/7/14,None,13,0
141,74,88,0,3/7/12,11/20/12,4,0
1997,651,494,0,6/25/15,None,13,0
152,101,94,0,4/10/14,None,13,0
153,86,95,0,4/10/14,None,13,0
156,18,98,0,4/3/14,None,13,0
183,29,114,0,4/25/14,None,13,0
168,90,107,0,4/23/14,None,13,0
175,96,111,0,4/26/14,None,13,0
176,81,111,0,4/26/14,None,13,0
199,56,120,0,4/29/14,None,13,0
151,55,106,0,4/2/14,None,13,0
204,85,123,72,4/27/14,None,13,0
196,89,118,0,4/27/14,None,13,0
197,88,118,0,4/27/14,None,13,0
154,30,96,0,4/12/14,4/30/14,5,0
210,102,124,3,4/30/14,None,13,0
1998,647,494,0,6/25/15,None,13,0
223,35,129,0,5/3/14,None,13,0
224,145,129,0,5/3/14,None,13,0
237,126,131,0,5/4/14,None,13,0
236,125,131,0,5/4/14,None,13,0
238,40,133,3,5/4/14,None,13,0
247,66,119,0,5/5/14,None,13,0
263,54,56,0,5/7/14,None,13,0
275,118,136,0,5/10/14,None,13,0
320,123,147,0,5/25/14,6/18/14,4,0
291,116,139,0,5/14/14,None,13,0
298,122,140,0,5/14/14,None,13,0
305,120,140,0,5/17/14,None,13,0
318,100,145,0,5/24/14,None,13,0
321,63,148,0,5/26/14,None,13,0
319,119,146,0,5/24/14,None,13,0
322,117,149,0,5/26/14,None,13,0
420,36,55,0,6/11/14,None,13,0
155,75,97,0,4/3/14,5/25/14,4,0
337,19,151,0,5/29/14,None,13,0
1999,665,819,0,6/27/15,None,13,0
357,141,156,0,6/3/14,None,13,0
371,109,164,72,6/7/14,None,13,0
345,142,153,0,5/31/14,None,13,0
354,16,155,0,6/2/14,None,13,0
455,164,197,0,6/21/14,None,13,0
372,110,164,72,6/7/14,None,13,0
387,128,168,0,6/8/14,None,13,0
388,112,170,0,6/8/14,None,5,0
385,165,167,0,6/8/14,None,13,0
384,134,166,0,6/8/14,None,13,0
386,132,168,0,6/8/14,None,13,0
1625,482,715,0,3/15/15,None,13,0
2528,911,1025,0,11/3/15,11/18/15,5,0
414,166,176,0,6/11/14,None,13,0
415,114,177,0,6/11/14,None,13,0
421,163,182,0,6/12/14,None,13,0
422,104,183,3,6/13/14,None,13,0
424,146,185,0,6/14/14,None,13,0
427,161,188,0,6/15/14,None,13,0
429,105,190,0,6/15/14,None,13,0
430,106,191,0,6/15/14,None,13,0
438,187,193,3,6/17/14,None,13,0
450,30,195,0,6/19/14,None,13,0
454,124,196,0,6/20/14,None,13,0
346,140,154,0,5/31/14,6/21/14,5,0
2570,929,1025,0,11/3/15,11/18/15,5,0
456,186,188,0,6/21/14,None,13,0
457,184,199,0,6/21/14,None,13,0
460,148,122,0,6/23/14,None,13,0
461,181,201,0,6/23/14,None,13,0
506,155,208,3,6/29/14,None,13,0
507,167,209,0,6/29/14,None,13,0
509,219,210,0,6/29/14,None,13,0
510,153,210,0,6/29/14,None,13,0
521,197,191,0,7/1/14,None,13,0
523,190,215,3,7/1/14,None,13,0
526,185,216,0,6/30/14,None,13,0
540,157,221,0,7/5/14,None,13,0
2000,666,820,0,6/27/15,None,13,0
535,183,217,0,7/5/14,None,13,0
537,188,219,0,7/5/14,None,13,0
538,200,220,0,7/5/14,None,13,0
539,160,221,0,7/5/14,None,13,0
548,168,223,3,7/10/14,None,13,0
558,159,233,0,7/13/14,None,13,0
549,191,224,0,7/10/14,None,13,0
550,203,225,0,7/10/14,None,13,0
551,136,226,72,7/12/14,None,13,0
559,158,234,0,7/13/14,None,13,0
552,221,227,0,7/12/14,None,13,0
555,193,229,0,7/13/14,None,13,0
565,143,235,0,7/14/14,None,13,0
2001,664,820,0,6/27/15,None,13,0
586,212,242,0,7/17/14,None,13,0
589,179,245,0,7/19/14,None,13,0
628,201,255,0,7/25/14,None,13,0
729,123,295,0,8/19/14,None,13,0
632,234,261,72,7/27/14,None,13,0
584,150,128,0,7/18/14,None,13,0
590,176,245,0,7/19/14,None,13,0
627,156,255,0,7/25/14,None,13,0
621,162,250,0,7/23/14,None,13,0
622,149,251,0,7/24/14,None,13,0
623,206,252,0,7/24/14,None,13,0
624,154,253,0,7/24/14,None,13,0
631,245,260,0,7/27/14,None,13,0
633,177,262,0,7/27/14,None,13,0
634,182,263,0,7/27/14,None,13,0
637,241,102,0,7/29/14,None,13,0
730,198,296,0,8/19/14,None,13,0
642,213,265,0,7/29/14,None,13,0
643,140,266,0,7/28/14,None,13,0
2002,653,821,0,6/27/15,None,13,0
651,218,267,0,7/31/14,None,13,0
686,233,280,3,8/9/14,None,13,0
660,209,271,0,8/1/14,None,13,0
666,175,275,3,8/2/14,None,13,0
662,238,272,3,8/2/14,None,13,0
663,17,273,0,8/2/14,None,13,0
665,174,275,3,8/2/14,None,13,0
557,38,232,0,7/13/14,8/4/14,8,0
685,147,280,3,8/9/14,None,13,0
696,247,283,0,8/11/14,None,13,0
2003,652,821,0,6/27/15,None,13,0
734,169,301,72,8/25/14,8/25/14,4,0
712,196,292,0,8/14/14,8/28/14,5,0
708,251,288,0,8/13/14,None,13,0
709,273,289,0,8/13/14,None,13,0
711,133,291,3,8/14/14,None,13,0
716,78,293,0,8/16/14,None,13,0
722,210,294,3,8/18/14,None,13,0
664,230,274,3,8/2/14,8/23/14,4,0
710,222,290,0,8/14/14,None,13,0
766,269,279,0,8/28/14,None,13,0
769,244,309,0,8/30/14,None,13,0
771,254,311,0,8/30/14,None,13,0
784,230,321,3,9/6/14,None,13,0
772,170,312,0,8/31/14,None,13,0
773,249,313,0,9/1/14,None,13,0
795,285,327,0,9/8/14,None,13,0
774,224,314,0,9/1/14,None,13,0
785,57,322,0,9/6/14,None,13,0
775,232,315,0,9/1/14,None,13,0
768,226,308,0,8/28/14,None,13,0
770,272,310,72,8/30/14,None,13,0
777,259,316,3,9/1/14,None,13,0
776,258,316,3,9/1/14,None,13,0
778,129,251,0,8/31/14,None,13,0
779,242,292,0,9/1/14,None,13,0
786,298,323,0,9/6/14,None,13,0
781,260,318,3,9/3/14,None,13,0
782,227,319,0,9/4/14,None,13,0
783,257,320,0,9/4/14,None,13,0
788,231,325,0,9/7/14,None,13,0
789,225,325,0,9/7/14,None,13,0
790,199,326,3,9/7/14,None,13,0
806,214,211,0,9/10/14,None,13,0
803,173,329,0,9/11/14,None,13,0
804,246,330,0,9/11/14,None,13,0
805,256,330,0,9/11/14,None,13,0
807,217,42,0,9/10/14,None,13,0
808,32,42,0,9/10/14,None,13,0
811,152,332,0,9/13/14,None,13,0
2004,654,822,0,6/28/15,None,13,0
823,305,334,0,9/18/14,None,13,0
2049,673,834,0,7/9/15,None,13,0
824,267,335,3,9/18/14,None,13,0
825,299,336,3,9/18/14,None,13,0
833,271,337,0,9/18/14,None,13,0
834,289,338,0,9/21/14,None,13,0
841,239,341,3,9/22/14,None,13,0
835,223,339,0,9/21/14,None,13,0
836,228,339,0,9/21/14,None,13,0
872,266,349,3,9/27/14,None,13,0
873,255,350,0,9/27/14,None,13,0
1013,364,396,0,10/24/14,None,13,0
888,296,352,3,9/30/14,None,13,0
889,326,353,0,9/30/14,None,13,0
890,42,200,0,9/30/14,None,13,0
891,316,354,72,9/27/14,None,13,0
893,65,355,0,10/1/14,None,13,0
906,288,363,3,10/4/14,7/27/15,5,0
895,215,356,3,10/2/14,None,13,0
2657,800,207,0,12/6/15,None,13,0
905,216,362,0,10/1/14,None,13,0
907,317,364,0,10/4/14,None,13,0
908,265,354,0,10/4/14,None,13,0
909,236,365,0,10/4/14,None,13,0
910,270,365,0,10/4/14,None,13,0
916,276,367,0,10/5/14,None,13,0
917,130,368,0,10/5/14,None,13,0
920,196,369,0,10/7/14,None,13,0
928,252,370,3,10/8/14,None,13,0
933,360,368,0,10/9/14,None,13,0
936,322,373,0,10/11/14,None,13,0
990,348,387,0,10/15/14,None,5,0
941,262,375,0,10/12/14,None,13,0
942,291,376,72,10/12/14,None,13,0
943,70,377,0,10/12/14,None,13,0
944,68,377,0,10/12/14,None,13,0
937,331,373,0,10/11/14,None,13,0
955,27,40,0,10/13/14,None,13,0
956,15,379,0,10/13/14,None,13,0
970,268,381,3,10/15/14,None,13,0
1014,344,396,0,10/24/14,None,13,0
980,297,384,3,10/16/14,None,13,0
988,328,385,0,10/17/14,None,13,0
989,302,386,0,10/17/14,None,13,0
995,315,388,3,10/18/14,None,13,0
996,311,364,3,10/18/14,None,13,0
1001,312,390,0,10/20/14,None,13,0
1005,329,393,0,10/21/14,None,13,0
1021,290,397,3,10/26/14,None,13,0
1022,343,398,3,10/26/14,None,13,0
1023,301,399,3,10/26/14,None,13,0
1024,62,400,0,10/26/14,None,13,0
1032,376,404,72,10/28/14,None,13,0
1025,340,401,0,10/26/14,None,13,0
1026,338,401,0,10/26/14,None,13,0
1040,321,332,0,10/30/14,None,13,0
1033,337,405,0,10/28/14,None,13,0
1050,333,410,0,11/1/14,None,13,0
1049,303,409,3,11/1/14,None,13,0
1053,386,411,0,11/3/14,None,13,0
1055,307,412,0,11/1/14,None,13,0
1060,385,414,0,11/4/14,None,13,0
2050,711,835,3,7/10/15,None,13,0
1098,355,432,346,11/11/14,None,13,0
1068,334,416,346,11/4/14,None,13,0
1079,335,421,0,11/18/14,None,13,0
1069,336,416,346,11/4/14,None,13,0
1099,377,432,346,11/11/14,None,13,0
1070,287,417,0,11/5/14,None,13,0
1072,342,418,3,11/5/14,12/7/14,4,0
1081,306,423,0,11/8/14,None,13,0
1082,310,424,346,11/8/14,None,13,0
1086,330,426,0,11/9/14,None,13,0
1087,324,426,0,11/9/14,None,13,0
1088,383,427,3,11/9/14,None,13,0
1096,295,430,3,11/11/14,None,13,0
1095,294,430,3,11/11/14,None,13,0
1097,314,431,3,11/11/14,None,13,0
2007,720,823,0,3/17/12,6/27/15,3,0
1126,374,442,3,11/15/14,None,13,0
1122,277,438,0,11/15/14,None,13,0
1123,393,439,0,11/15/14,None,13,0
1124,346,440,0,11/15/14,None,13,0
1143,313,450,0,11/22/14,None,13,0
1130,370,445,346,11/16/14,None,13,0
1134,365,446,0,11/20/14,None,13,0
1141,127,449,0,11/22/14,None,13,0
1142,398,449,0,11/22/14,None,13,0
1144,399,451,0,11/22/14,None,13,0
1145,309,452,0,11/22/14,None,13,0
1160,371,453,0,11/23/14,None,13,0
1161,369,453,0,11/23/14,None,13,0
1162,31,366,0,11/11/14,None,13,0
1163,52,454,0,11/23/14,None,13,0
1164,366,455,0,11/19/14,None,13,0
4772,2423,4060,0,2/13/17,None,13,0
1349,425,535,346,12/21/14,None,13,0
1169,389,460,0,11/25/14,None,13,0
1170,388,460,0,11/25/14,None,13,0
1171,422,461,346,11/24/14,None,13,0
1193,440,473,0,11/29/14,None,13,0
1173,368,462,0,11/26/14,None,13,0
1174,347,462,0,11/26/14,None,13,0
1197,282,475,0,11/30/14,None,13,0
1198,358,475,0,11/30/14,None,13,0
1194,359,474,0,11/29/14,None,13,0
1189,345,102,0,11/28/14,None,13,0
1188,38,469,0,11/28/14,None,13,0
1186,367,468,0,11/28/14,None,13,0
1187,339,468,0,11/28/14,None,13,0
1190,409,470,0,11/29/14,None,13,0
1191,379,471,0,11/30/14,None,13,0
1636,479,723,0,3/13/15,None,13,0
1264,375,380,0,12/11/14,None,13,0
1228,418,485,346,12/6/14,None,13,0
1267,275,500,346,12/11/14,None,13,0
1352,292,536,0,12/27/14,None,13,0
1353,436,536,0,12/27/14,None,13,0
1233,381,486,346,12/3/14,None,13,0
1235,403,487,0,12/6/14,None,13,0
1236,192,488,0,12/6/14,None,13,0
1247,412,492,3,12/9/14,None,13,0
1238,432,490,0,12/7/14,None,13,0
1239,405,490,0,12/7/14,None,13,0
1260,390,498,0,12/10/14,9/10/15,4,0
1257,378,496,0,11/29/14,None,13,0
1249,395,493,0,12/10/14,None,13,0
1250,319,451,0,12/7/14,None,13,0
1258,394,497,0,12/10/14,None,13,0
1251,407,494,0,12/7/14,None,13,0
1252,293,495,0,12/7/14,None,13,0
1261,357,499,3,12/10/14,None,13,0
1262,308,471,0,11/30/14,None,13,0
1269,372,502,0,12/12/14,None,13,0
1273,356,420,0,12/13/14,None,13,0
1227,71,483,0,12/4/14,12/23/14,4,0
2011,615,824,0,6/26/15,None,13,0
1300,410,514,0,12/16/14,None,13,0
1279,441,504,3,12/13/14,None,13,0
1280,382,505,0,12/13/14,None,13,0
1281,396,505,0,12/13/14,None,13,0
1282,373,505,0,12/13/14,None,13,0
1048,292,408,0,11/1/14,11/29/14,4,0
614,170,249,3,7/22/14,8/16/14,5,0
1284,415,506,0,12/14/14,None,13,0
1299,451,513,0,12/16/14,None,13,0
1311,417,518,0,12/18/14,None,5,0
1312,352,519,0,12/19/14,None,13,0
541,111,170,3,7/6/14,None,5,0
1355,380,534,0,12/27/14,None,13,0
1318,463,521,0,12/20/14,None,13,0
1324,64,453,0,12/21/14,None,13,0
1319,424,522,0,12/21/14,None,13,0
1320,421,523,0,12/21/14,None,13,0
1356,420,534,0,12/27/14,None,13,0
1325,413,525,0,12/22/14,None,13,0
205,14,123,0,4/27/14,12/28/14,5,0
1359,496,540,0,9/14/13,12/30/14,4,0
1360,49,541,0,12/30/14,None,13,0
1365,427,543,0,12/31/14,None,13,0
1647,547,726,0,3/26/15,None,13,0
1366,444,545,0,12/31/14,None,13,0
1367,75,546,0,1/1/15,None,13,0
1368,442,547,0,12/30/14,None,13,0
1369,443,547,0,12/30/14,None,13,0
1370,73,433,0,12/31/14,None,13,0
2658,940,1066,3,12/6/15,None,13,0
1372,169,548,346,1/2/15,None,13,0
1373,400,549,0,12/30/14,None,13,0
1374,446,545,0,1/3/15,None,13,0
1375,434,551,0,1/4/15,None,13,0
1377,448,552,0,12/19/14,None,13,0
1378,342,552,0,12/19/14,None,13,0
1390,406,553,0,1/6/15,None,13,0
1391,437,554,0,1/6/15,None,13,0
1397,473,557,0,1/7/15,None,13,0
1402,457,563,0,1/9/15,None,13,0
1401,458,563,0,1/9/15,None,13,0
1403,475,564,0,1/9/15,None,13,0
1404,468,565,0,1/9/15,None,13,0
3103,571,1218,0,5/2/16,None,13,0
1410,455,566,0,1/10/15,None,13,0
1427,461,574,3,1/14/15,None,13,0
1411,447,567,0,1/10/15,None,13,0
