OWNERID,ADOPTIONNUMBER,ANIMALID,ANIMALNAME,BASECOLOURID,BREEDID,BREEDNAME,DATEOFBIRTH,SEX,COMBITESTRESULT,FLVRESULT,DECLAWED,SHELTERLOCATION,DATEBROUGHTIN,MOSTRECENTENTRYDATE,ANIMALAGE,WEIGHT
17521,24504,13118,Xerographica,68,261,Domestic Short Hair,2/19/21,0,1,1,0,16,2/19/22,2/19/22,1 year 1 month.,7.6
17239,24187,12976,Long John Silver,3,243,Domestic Long Hair,12/31/20,1,1,1,0,3,1/4/22,1/4/22,1 year 0 months.,12
7272,10299,5812,Tuna,69,261,Domestic Short Hair,11/17/17,1,1,1,0,10,10/1/18,10/1/18,3 years 9 months.,7.3
18061,25437,13528,Greek Valerian,1,252,Domestic Medium Hair,3/30/22,1,1,1,0,32,5/26/22,5/26/22,16 weeks.,2.4
7989,11377,6519,Jellybean,3,261,Domestic Short Hair,9/10/18,0,1,1,0,4,12/31/18,12/31/18,1 year 11 months.,4.43
16780,23609,12655,Behemoth,3,243,Domestic Long Hair,10/6/20,1,1,1,0,9,10/18/21,10/18/21,1 year 1 month.,12.3
28,15014,7797,Cricket (Emma),1,261,Domestic Short Hair,5/3/19,0,1,1,0,19,8/28/19,8/28/19,1 year 11 months.,6.69
17001,24003,12943,Calamity Jane,67,261,Domestic Short Hair,12/13/16,0,0,0,0,19,12/12/21,12/12/21,5 years 0 months.,10.2
10897,24260,8599,Orry,84,315,Siamese Mix,2/4/19,1,1,1,0,19,12/30/19,1/25/22,3 years 0 months.,12.8
10066,15507,8599,Orry,84,315,Siamese Mix,2/4/19,1,1,1,0,19,12/30/19,1/25/22,3 years 0 months.,12.8
17824,24887,13320,Dawn Redwood,62,261,Domestic Short Hair,4/18/21,0,1,1,0,3,4/18/22,4/18/22,1 year 0 months.,10.3
16881,24223,12996,Drax the Destroyer,1,261,Domestic Short Hair,1/13/21,1,2,1,0,19,1/13/22,1/13/22,1 year 0 months.,12.2
6549,9070,4981,Bubbles (Sophie),81,261,Domestic Short Hair,4/7/18,0,1,1,0,19,5/25/18,5/25/18,3 years 0 months.,1.89
18037,25282,13515,Snicklefuzz (Floyd),89,243,Domestic Long Hair,5/23/20,1,1,1,0,19,5/23/22,5/23/22,2 years 0 months.,10.4
16544,23431,12625,Suspiria,3,252,Domestic Medium Hair,3/1/21,0,1,1,0,19,9/30/21,9/30/21,8 months.,5.6
17708,24793,13045,Curtis B. Cat,1,261,Domestic Short Hair,2/2/16,1,1,1,1,19,2/2/22,2/2/22,6 years 2 months.,9.7
16723,23614,12759,Duncan Idaho (Dunkin),63,261,Domestic Short Hair,11/28/20,1,1,1,0,19,10/28/21,10/28/21,11 months.,7
10652,23556,12760,Paul Atreides,63,261,Domestic Short Hair,11/28/20,1,1,1,0,19,10/28/21,10/28/21,11 months.,7.8
9859,14218,7799,Sheila,62,261,Domestic Short Hair,8/9/12,0,2,1,0,8,8/19/19,8/19/19,8 years 8 months.,13.7
17229,24172,9993,Roadster,68,261,Domestic Short Hair,5/7/20,1,1,1,0,32,8/18/20,1/9/22,1 year 8 months.,10.4
12838,18114,9993,Roadster,68,261,Domestic Short Hair,5/7/20,1,1,1,0,32,8/18/20,1/9/22,1 year 8 months.,10.4
13959,25257,8222,Godric Gryffindor,91,252,Domestic Medium Hair,7/9/19,1,1,1,0,19,10/23/19,3/25/22,2 years 11 months.,9.1
10443,15021,8222,Godric Gryffindor,91,252,Domestic Medium Hair,7/9/19,1,1,1,0,19,10/23/19,3/25/22,2 years 11 months.,9.1
15641,21928,11834,Rhodes,63,261,Domestic Short Hair,5/19/20,1,1,1,0,10,6/1/21,6/1/21,1 year 1 month.,8.6
1003,2463,808,Rafael,68,261,Domestic Short Hair,5/19/13,1,1,1,0,10,8/19/13,9/13/15,8 years 3 months.,10.81
943,2307,808,Rafael,68,261,Domestic Short Hair,5/19/13,1,1,1,0,10,8/19/13,9/13/15,8 years 3 months.,10.81
1163,24083,11159,Francisco Goya,3,261,Domestic Short Hair,2/2/16,1,1,1,0,10,2/1/21,2/1/21,5 years 11 months.,11.1
17587,24626,13197,Savannah Smile,67,261,Domestic Short Hair,8/16/21,0,1,1,0,10,3/16/22,3/16/22,8 months.,6.2
10695,24202,10103,Simon Says,1,261,Domestic Short Hair,8/21/07,1,1,1,0,19,8/21/20,5/25/21,14 years 5 months.,12.4
14750,20622,10103,Simon Says,1,261,Domestic Short Hair,8/21/07,1,1,1,0,19,8/21/20,5/25/21,14 years 5 months.,12.4
7804,11121,6358,Cassandra,1,261,Domestic Short Hair,9/13/18,0,1,1,0,24,11/21/18,11/21/18,2 years 11 months.,3.3
14710,20628,11269,Duck Duck Goose,74,261,Domestic Short Hair,12/31/20,0,1,1,0,32,2/25/21,2/25/21,8 months.,3.1
11505,16338,9074,Chrome,62,261,Domestic Short Hair,4/20/18,1,1,1,0,9,4/28/20,4/28/20,3 years 1 month.,10.6
